127.0.0.1_29002 -> 13:11:27.052786 raft.go:189: logger initialized
127.0.0.1_29002 -> 13:11:27.052915 raft.go:608: Soy follower
127.0.0.1_29002 -> 13:11:27.334407 raft.go:620: Soy un candidate
127.0.0.1_29002 -> 13:11:27.334550 raft.go:387: Enviando peticion de voto a nodo  0  con mandato  1  y entries  -1   0
127.0.0.1_29002 -> 13:11:27.334573 raft.go:387: Enviando peticion de voto a nodo  2  con mandato  1  y entries  -1   0
127.0.0.1_29002 -> 13:11:27.335547 raft.go:540: Respuesta de nodo  0  a la petición de voto:  &{1 false}
127.0.0.1_29002 -> 13:11:27.361452 raft.go:608: Soy follower
127.0.0.1_29002 -> 13:11:27.361998 raft.go:608: Soy follower
127.0.0.1_29002 -> 13:11:27.423733 raft.go:608: Soy follower
127.0.0.1_29002 -> 13:11:27.475705 raft.go:608: Soy follower
127.0.0.1_29002 -> 13:11:27.527101 raft.go:608: Soy follower
127.0.0.1_29002 -> 13:11:27.577289 raft.go:608: Soy follower
127.0.0.1_29002 -> 13:11:27.627891 raft.go:608: Soy follower
127.0.0.1_29002 -> 13:11:27.678388 raft.go:608: Soy follower
127.0.0.1_29002 -> 13:11:27.728998 raft.go:608: Soy follower
127.0.0.1_29002 -> 13:11:27.780620 raft.go:608: Soy follower
127.0.0.1_29002 -> 13:11:27.831071 raft.go:608: Soy follower
127.0.0.1_29002 -> 13:11:27.881353 raft.go:608: Soy follower
127.0.0.1_29002 -> 13:11:27.931449 raft.go:608: Soy follower
127.0.0.1_29002 -> 13:11:27.982066 raft.go:608: Soy follower
127.0.0.1_29002 -> 13:11:28.033138 raft.go:608: Soy follower
127.0.0.1_29002 -> 13:11:28.084039 raft.go:608: Soy follower
127.0.0.1_29002 -> 13:11:28.135823 raft.go:608: Soy follower
127.0.0.1_29002 -> 13:11:28.186482 raft.go:608: Soy follower
127.0.0.1_29002 -> 13:11:28.237507 raft.go:608: Soy follower
127.0.0.1_29002 -> 13:11:28.288837 raft.go:608: Soy follower
127.0.0.1_29002 -> 13:11:28.339906 raft.go:608: Soy follower
127.0.0.1_29002 -> 13:11:28.390466 raft.go:608: Soy follower
127.0.0.1_29002 -> 13:11:28.442850 raft.go:608: Soy follower
127.0.0.1_29002 -> 13:11:28.492864 raft.go:608: Soy follower
127.0.0.1_29002 -> 13:11:28.544231 raft.go:608: Soy follower
127.0.0.1_29002 -> 13:11:28.594619 raft.go:608: Soy follower
127.0.0.1_29002 -> 13:11:28.645982 raft.go:608: Soy follower
127.0.0.1_29002 -> 13:11:28.697657 raft.go:608: Soy follower
127.0.0.1_29002 -> 13:11:28.748108 raft.go:608: Soy follower
127.0.0.1_29002 -> 13:11:28.799148 raft.go:608: Soy follower
127.0.0.1_29002 -> 13:11:28.850679 raft.go:608: Soy follower
127.0.0.1_29002 -> 13:11:28.902216 raft.go:608: Soy follower
127.0.0.1_29002 -> 13:11:28.953155 raft.go:608: Soy follower
127.0.0.1_29002 -> 13:11:29.004432 raft.go:608: Soy follower
127.0.0.1_29002 -> 13:11:29.055196 raft.go:608: Soy follower
127.0.0.1_29002 -> 13:11:29.105700 raft.go:608: Soy follower
127.0.0.1_29002 -> 13:11:29.157076 raft.go:608: Soy follower
127.0.0.1_29002 -> 13:11:29.208616 raft.go:608: Soy follower
127.0.0.1_29002 -> 13:11:29.259273 raft.go:608: Soy follower
127.0.0.1_29002 -> 13:11:29.310090 raft.go:608: Soy follower
127.0.0.1_29002 -> 13:11:29.360488 raft.go:608: Soy follower
127.0.0.1_29002 -> 13:11:29.411352 raft.go:608: Soy follower
127.0.0.1_29002 -> 13:11:29.462486 raft.go:608: Soy follower
127.0.0.1_29002 -> 13:11:29.513171 raft.go:608: Soy follower
127.0.0.1_29002 -> 13:11:29.562779 raft.go:608: Soy follower
127.0.0.1_29002 -> 13:11:29.615086 raft.go:608: Soy follower
127.0.0.1_29002 -> 13:11:29.665916 raft.go:608: Soy follower
127.0.0.1_29002 -> 13:11:29.717527 raft.go:608: Soy follower
127.0.0.1_29002 -> 13:11:29.778712 raft.go:608: Soy follower
127.0.0.1_29002 -> 13:11:29.828779 raft.go:608: Soy follower
127.0.0.1_29002 -> 13:11:29.880615 raft.go:608: Soy follower
127.0.0.1_29002 -> 13:11:29.931882 raft.go:608: Soy follower
127.0.0.1_29002 -> 13:11:29.982498 raft.go:608: Soy follower
127.0.0.1_29002 -> 13:11:30.032436 raft.go:608: Soy follower
127.0.0.1_29002 -> 13:11:30.084123 raft.go:608: Soy follower
127.0.0.1_29002 -> 13:11:30.135632 raft.go:608: Soy follower
127.0.0.1_29002 -> 13:11:30.185959 raft.go:608: Soy follower
127.0.0.1_29002 -> 13:11:30.236674 raft.go:608: Soy follower
127.0.0.1_29002 -> 13:11:30.286495 raft.go:608: Soy follower
127.0.0.1_29002 -> 13:11:30.336545 raft.go:608: Soy follower
127.0.0.1_29002 -> 13:11:30.387754 raft.go:608: Soy follower
127.0.0.1_29002 -> 13:11:30.437896 raft.go:608: Soy follower
127.0.0.1_29002 -> 13:11:30.489266 raft.go:608: Soy follower
127.0.0.1_29002 -> 13:11:30.539557 raft.go:608: Soy follower
127.0.0.1_29002 -> 13:11:30.591910 raft.go:608: Soy follower
127.0.0.1_29002 -> 13:11:30.643315 raft.go:608: Soy follower
